Aspect,Polarity,Summary,Review
Output: Amenities and location,Positive,"clean and comfortable cabins, nice cafe with strong coffee and good wifi",2 charging spots. Clean and comfortable cabins and a nice cafe with strong coffee and good wifi. Perfect stop on way into or out of Bryce Canyon or Zion
Output: Amenities and Location,Positive,"Bryce Canyon inn, Coffee shop, 3 restaurants","2 destination chargers in the parking lot of the Bryce Canyon inn. Coffee shop right in front, and 3 restaurants within 200 ft."
Output: Amenities and Location,Positive,2 free anytime Tesla HPWC and a Clipper Creek charger,2 free anytime Tesla HPWC and a Clipper Creek charger as well
Output: reliability and maintenance,Negative,2 of 3 chargers work,"2 of 3 chargers work, most days they are free but you will find the occasional ICE vehicles parked there."
Output: Accessibility and Availability,Negative,2 of 3 spots filled by gas cars,"2 of 3 spots filled by gas cars. The one spot left for me did charge my M3D at 39mph, so pretty pleased with that."
Output: Accessibility and Location,Negative,2 of the 4 spots were ICED,2 of the 4 spots were ICED but it was nice that the chargers were near the front door. Definitely a good stop on the way from the cities to Marshall!
Output: reliability and maintenance,Negative,2 of the 6 chargers (2a & 2b)were not working on June 18th and June 20th,"2 of the 6 chargers (2a & 2b)were not working on June 18th and June 20th. 2 of the chargers had physical damage, but we're working fine. Located next to McDonalds and Tourist information office. Nice grass strip for dogs."
Output: reliability and maintenance,Positive,2 out of 3 chargers works for me and most EV owners here moves their cars once it done helps a lot too,2 out of 3 chargers works for me and most EV owners here moves their cars once it done helps a lot too. Thanks all of those who are doing their part and act responsively and allows everyone to use the charger and enjoy their vacations in Destin.
Output: reliability and maintenance,Negative,2 stalls not working,"2 stalls not working on August 16, 2022"
Output: Availability and Accessibility,Positive,2 Tesla chargers and 1 clipper creek,2 Tesla chargers and 1 clipper creek.
Output: Charging speed and efficiency,Positive,16 kWh gives me around 28 mile,"2 Tesla chargers at level 2 and 2 common at level 1. Haven‚Äôt tried the common 1. The Tesla charger is 16 kWh gives me around. 28 mile/ hr.
 The garage charge $1/hr. First 30 min free"
Output: Accessibility and Accessibility,Positive,"2 Tesla chargers, in the parking lot on the south side of Papa Joe's restaurant, spots marked ""electric cars only"". One Tesla connector, one standard J1772 connector.","2 Tesla chargers, in the parking lot on the south side of Papa Joe's restaurant, spots marked ‚Äúelectric cars only‚Äù. One Tesla connector, onestandard J1772 connector."
Output: Amenities and Location,Positive,"2 Tesla Destination Chargers, 240V 48A","2 Tesla Destination Chargers, 240V 48A, Free to use for an EV."
Accessibility and Amenities and location,Positive,2 tesla destination chargers. Facility is cheap for the general area as it was listed as $2 total for 5pm-5am and $1 per hr otherwise. Not a bad option relative to valet parking for hotels in area and obviously self funds parking fee relative to a supercharger (note: i was getting 8kwh on the tesla charger),2 tesla destination chargers. Facility is cheap for the general area as it was listed as $2 total for 5pm-5am and $1 per hr otherwise. Not a bad option relative to valet parking for hotels in area and obviously self funds parking fee relative to a supercharger (note: i was getting 8kwh on the tesla charger)
Output: Compatibility and Connectivity,Neutral,2 Tesla HPWC's -> 40A 209V 8kW and one J-1772,2 Tesla HPWC's -> 40A 209V 8kW and one J-1772
Accessibility and Accessibility,Positive,2 Tesla Wall Connectors and a single Clipper Creek J1772 charger are set up here in Chetola Resort,"2 Tesla Wall Connectors and a single Clipper Creek J1772 charger are set up here in Chetola Resort. The Tesla wall connector I used gave me the full 48A supported on single phase by that charger model, for 12kW observed charging; which is decently fast; a full charge in a few hours on all but the largest EVs. The resort is mostly timeshare apartments but they also do events here, and they welcome public entry at the gate. If you‚Äôre not staying here overnight, the charger is well situated for the restaurant, and there‚Äôs also other resort activities like a spa with a pool, hot tub, sauna, and fixed exercise machines, and a children‚Äôs play area. Lake Chetola is home to swans and stocked with fish for catching, canoes for hire - and a Bocce Ball court. There are also several multi-mile hikes starting at the resort."
Amenities and location,Positive,"restaurant, spa with a pool, hot tub, sauna, and fixed exercise machines, and a children's play area, Lake Chetola, Bocce Ball court, multi-mile hikes starting at the resort","2 Tesla Wall Connectors and a single Clipper Creek J1772 charger are set up here in Chetola Resort. The Tesla wall connector I used gave me the full 48A supported on single phase by that charger model, for 12kW observed charging; which is decently fast; a full charge in a few hours on all but the largest EVs. The resort is mostly timeshare apartments but they also do events here, and they welcome public entry at the gate. If you‚Äôre not staying here overnight, the charger is well situated for the restaurant, and there‚Äôs also other resort activities like a spa with a pool, hot tub, sauna, and fixed exercise machines, and a children‚Äôs play area. Lake Chetola is home to swans and stocked with fish for catching, canoes for hire - and a Bocce Ball court. There are also several multi-mile hikes starting at the resort."
Output: Charging speed and efficiency,Positive,charging my AWD Model 3 at 38 mph,2 Tesla Wall connectors. Currently charging my AWD Model 3 at 38 mph.
Output: Compatibility and Connectivity,Neutral,2 Teslas. 1 Non-Tesla,2 Teslas. 1 Non-Tesla
Output: reliability and maintenance,Negative,2,2/8 stalls offline on this day. ü´§
Output: Charging speed and efficiency,Positive,20 stations at 250kw,20 stations at 250kw. What's more to say
#NAME?,Negative,The first two I tried to charge with were broken,"20 Superchargers, available 24/7, up to 150kW
 
 The first two I tried to charge with were broken. One would not latch properly to start the charge and the other had a bent prong.
 
 This charging station is close to shopping and fast food."
#NAME?,Positive,up to 150kW,"20 Superchargers, available 24/7, up to 150kW
 
 The first two I tried to charge with were broken. One would not latch properly to start the charge and the other had a bent prong.
 
 This charging station is close to shopping and fast food."
#NAME?,Positive,close to shopping and fast food,"20 Superchargers, available 24/7, up to 150kW
 
 The first two I tried to charge with were broken. One would not latch properly to start the charge and the other had a bent prong.
 
 This charging station is close to shopping and fast food."
Output: Charging speed and efficiency,Positive,charging at 250+ kW (1021 m,"2019 Model 3 charging at 250+ kW (1021 m/hr) and it‚Äôs also in easy walking range to many restaurants.
 
 It‚Äôs in the parking lot of a Royal Farms also so there‚Äôs those snacks and restrooms if you just want something quick."
Amenities and location,Positive,easy walking range to many restaurants,"2019 Model 3 charging at 250+ kW (1021 m/hr) and it‚Äôs also in easy walking range to many restaurants.
 
 It‚Äôs in the parking lot of a Royal Farms also so there‚Äôs those snacks and restrooms if you just want something quick."
Output: Compatibility and Connectivity,Neutral,225 mi,"225 mi/hr Virginia Beach, VA, USA üá∫üá∏"
Output: Availability and Accessibility,Positive,24 charging stations,24 charging stations! Always a spot available!
Output: Accessibility and Accessibility,Positive,"24 stalls, 6 groups of 4, each group is 250k. it's behind a bucees, with each access.","24 stalls, 6 groups of 4, each group is 250k. it's behind a bucees, with each access."
Output: Amenities and Location,Positive,"Taco Bell, Pizza Hut, Subway and Chester's Chicken at the gas station","24-hour gas station - good spot to sto. Taco Bell, Pizza Hut, Subway and Chester's Chicken at the gas station. charger even had a squeegee for the windows (although it was not refilled) I appreciated that"
